bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
PR Brown,1,1,29,18,0,0,0,0,0,0,25,9.666666666666668,0,0,0,0,0,0,0,25.0
PP Chawla,1,1,27,18,0,0,0,0,0,0,25,9.0,0,0,0,0,0,0,0,25.0
M de Lange,3,3,115,68,1,1,0,0,0,0,75,10.147058823529411,0,0,0,-2,0,0,0,25.0
S Prasanna,3,3,91,54,0,2,0,0,0,0,75,10.11111111111111,0,0,0,-2,0,0,0,25.0
Amir Hamza,1,1,25,18,0,0,0,0,0,0,25,8.333333333333332,0,0,0,0,0,0,0,25.0
WB Rankin,1,1,24,24,0,0,0,0,0,0,25,6.0,0,0,0,0,0,0,0,25.0
MS Crane,1,1,38,24,0,0,0,0,0,0,25,9.5,0,0,0,0,0,0,0,25.0
Dawlat Zadran,2,2,68,42,0,0,0,0,0,0,50,9.714285714285715,0,0,0,0,0,0,0,25.0
KK Ahmed,4,4,162,96,0,2,0,0,0,0,100,10.125,0,0,0,-2,0,0,0,25.0
Hussain Talat,3,3,29,18,0,0,0,0,0,0,75,9.666666666666668,0,0,0,0,0,0,0,25.0
Salma Khatun,1,1,39,24,0,0,0,0,0,0,25,9.75,0,0,0,0,0,0,0,25.0
Shahnawaz Dhani,3,3,122,72,0,2,0,0,0,0,75,10.166666666666666,0,0,0,-2,0,0,0,25.0
RR Emrit,3,3,132,72,1,0,0,0,0,0,75,11.0,0,0,0,-2,0,0,0,24.666666666666668
Al-Amin Hossain,3,3,111,66,0,1,0,0,0,0,75,10.090909090909092,0,0,0,-2,0,0,0,24.666666666666668
Mohammad Asif,2,2,83,48,0,1,0,0,0,0,50,10.375,0,0,0,-2,0,0,0,24.5
RJ Peterson,2,2,55,30,0,1,0,0,0,0,50,11.0,0,0,0,-2,0,0,0,24.5
Shoriful Islam,3,3,131,72,0,0,0,0,0,0,75,10.916666666666666,0,0,0,-2,0,0,0,24.333333333333332
DR Briggs,3,3,129,66,1,1,0,0,0,0,75,11.727272727272727,0,0,0,0,-4,0,0,24.333333333333332
Faheem Ashraf,9,8,256,165,0,2,4,0,0,1,200,9.309090909090909,0,0,0,0,0,0,12,24.22222222222222
R Ashwin,16,15,463,360,2,4,4,0,0,0,375,7.716666666666667,0,0,0,0,0,0,0,24.0625
SM Pollock,2,2,86,48,0,0,0,0,0,0,50,10.75,0,0,0,-2,0,0,0,24.0
NLTC Perera,14,13,438,238,2,2,4,0,0,0,325,11.042016806722689,0,0,0,0,-4,0,0,23.5
HV Patel,12,11,419,252,0,3,4,0,0,0,275,9.976190476190476,0,0,0,0,0,0,0,23.5
B Fernando,2,2,71,36,0,1,0,0,0,0,50,11.833333333333334,0,0,0,0,-4,0,0,23.5
Harbhajan Singh,5,4,131,120,1,1,0,0,0,1,100,6.549999999999999,0,0,2,0,0,0,12,23.2
HH Pandya,24,21,643,404,0,3,0,16,0,1,525,9.54950495049505,0,0,0,0,0,0,12,23.166666666666668
XJ Doherty,2,2,72,36,0,0,0,0,0,0,50,12.0,0,0,0,0,-4,0,0,23.0
Farhad Reza,2,2,96,48,0,0,0,0,0,0,50,12.0,0,0,0,0,-4,0,0,23.0
SI Mahmood,2,2,92,42,1,1,0,0,0,0,50,13.142857142857144,0,0,0,0,0,-6,0,23.0
Junaid Khan,1,1,22,12,0,0,0,0,0,0,25,11.0,0,0,0,-2,0,0,0,23.0
