bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
Mohammad Wasim,7,10,222,155,1,3,4,0,0,1,250,8.593548387096774,0,0,0,0,0,0,12,38.57142857142857
Nahida Akter,2,3,57,48,0,2,0,0,0,0,75,7.125,0,0,0,0,0,0,0,38.5
Naveen-ul-Haq,2,3,79,48,0,2,0,0,0,0,75,9.875,0,0,0,0,0,0,0,38.5
MP Stoinis,4,6,94,60,0,0,4,0,0,0,150,9.4,0,0,0,0,0,0,0,38.5
Arafat Sunny,2,3,48,42,0,0,0,0,0,0,75,6.857142857142857,0,0,2,0,0,0,0,38.5
SS Cottrell,9,13,229,187,1,1,4,0,0,1,325,7.347593582887701,0,0,0,0,0,0,12,38.111111111111114
BM Tickner,2,3,58,45,0,1,0,0,0,0,75,7.733333333333334,0,0,0,0,0,0,0,38.0
C Green,2,3,51,42,0,1,0,0,0,0,75,7.285714285714285,0,0,0,0,0,0,0,38.0
Aliya Riaz,2,3,64,42,0,1,0,0,0,0,75,9.142857142857142,0,0,0,0,0,0,0,38.0
SP Narine,12,17,253,276,0,3,4,8,0,1,425,5.5,0,4,0,0,0,0,12,38.0
Hasan Mahmud,2,3,69,48,0,1,0,0,0,0,75,8.625,0,0,0,0,0,0,0,38.0
Shakib Al Hasan,16,23,371,348,1,5,4,8,0,1,575,6.396551724137931,0,0,2,0,0,0,12,37.9375
CR Woakes,5,7,153,111,0,2,0,0,0,1,175,8.27027027027027,0,0,0,0,0,0,12,37.8
G Wareham,2,3,33,24,0,0,0,0,0,0,75,8.25,0,0,0,0,0,0,0,37.5
M de Lange,2,3,79,48,0,0,0,0,0,0,75,9.875,0,0,0,0,0,0,0,37.5
MM Patel,2,3,51,36,0,0,0,0,0,0,75,8.5,0,0,0,0,0,0,0,37.5
MJ Henry,1,1,31,24,0,0,0,0,0,1,25,7.75,0,0,0,0,0,0,12,37.0
S Pandey,5,7,123,102,0,2,8,0,0,0,175,7.235294117647058,0,0,0,0,0,0,0,37.0
N Mlaba,5,7,124,108,0,3,4,0,0,0,175,6.888888888888889,0,0,2,0,0,0,0,36.8
Mohammad Saifuddin,5,7,183,101,0,2,0,8,0,0,175,10.871287128712872,0,0,0,-2,0,0,0,36.6
M Kapp,5,6,111,96,0,3,4,0,0,2,150,6.9375,0,0,2,0,0,0,24,36.6
GP Swann,7,10,175,150,0,0,4,0,0,0,250,7.0,0,0,2,0,0,0,0,36.57142857142857
MG Johnson,7,10,199,163,1,1,4,0,0,0,250,7.325153374233129,0,0,0,0,0,0,0,36.57142857142857
SE Bond,6,8,157,138,0,0,4,0,0,1,200,6.826086956521738,0,0,2,0,0,0,12,36.333333333333336
Avesh Khan,3,4,100,66,0,0,0,8,0,0,100,9.09090909090909,0,0,0,0,0,0,0,36.0
ST Finn,5,7,133,120,1,1,0,0,0,0,175,6.65,0,0,2,0,0,0,0,35.8
PWH de Silva,13,18,380,295,3,4,8,0,0,0,450,7.728813559322033,0,0,0,0,0,0,0,35.76923076923077
JO Holder,9,12,244,185,0,3,0,0,16,0,300,7.913513513513514,0,0,0,0,0,0,0,35.44444444444444
HK Matthews,5,7,139,96,0,2,0,0,0,0,175,8.6875,0,0,0,0,0,0,0,35.4
S Ismail,9,12,220,210,1,3,0,0,0,1,300,6.2857142857142865,0,0,2,0,0,0,12,35.333333333333336
Shahid Afridi,16,21,451,381,1,7,8,0,0,2,525,7.102362204724409,0,0,0,0,0,0,24,35.3125
CJ Jordan,19,25,622,389,4,5,8,16,0,1,625,9.593830334190232,0,0,0,0,0,0,12,35.26315789473684
SL Malinga,23,31,713,542,5,11,4,0,16,0,775,7.892988929889299,0,0,0,0,0,0,0,35.26086956521739
RS Gayakwad,3,4,87,66,1,0,4,0,0,0,100,7.909090909090908,0,0,0,0,0,0,0,35.0
IK Pathan,6,8,174,120,1,5,4,0,0,0,200,8.7,0,0,0,0,0,0,0,35.0
AM Phangiso,6,8,183,126,1,0,8,0,0,0,200,8.714285714285714,0,0,0,0,0,0,0,34.833333333333336
S Ecclestone,11,14,235,234,3,7,0,8,0,1,350,6.0256410256410255,0,0,2,0,0,0,12,34.72727272727273
CAK Rajitha,3,4,108,72,0,0,4,0,0,0,100,9.0,0,0,0,0,0,0,0,34.666666666666664
AJ Tye,3,4,101,64,0,0,4,0,0,0,100,9.46875,0,0,0,0,0,0,0,34.666666666666664
Sohail Tanvir,9,12,288,198,0,2,8,0,0,0,300,8.727272727272727,0,0,0,0,0,0,0,34.44444444444444
J Botha,6,8,130,132,1,1,0,0,0,0,200,5.909090909090909,0,4,0,0,0,0,0,34.333333333333336
B Kumar,14,18,352,303,1,3,4,8,0,1,450,6.970297029702971,0,0,2,0,0,0,12,34.285714285714285
DJ Bravo,16,21,449,328,1,0,4,16,0,0,525,8.213414634146341,0,0,0,0,0,0,0,34.125
JD Unadkat,3,4,75,54,0,2,0,0,0,0,100,8.333333333333332,0,0,0,0,0,0,0,34.0
GB Hogg,2,2,32,48,0,0,0,0,0,1,50,4.0,6,0,0,0,0,0,12,34.0
A Gardner,6,8,129,106,0,0,4,0,0,0,200,7.30188679245283,0,0,0,0,0,0,0,34.0
JM Anderson,3,4,70,60,0,0,0,0,0,0,100,7.0,0,0,2,0,0,0,0,34.0
I Sharma,3,4,109,72,1,0,0,0,0,0,100,9.083333333333332,0,0,0,0,0,0,0,33.666666666666664
Sneh Rana,3,4,80,60,0,1,0,0,0,0,100,8.0,0,0,0,0,0,0,0,33.666666666666664
ST Jayasuriya,7,9,131,126,3,1,4,0,0,0,225,6.238095238095239,0,0,2,0,0,0,0,33.57142857142857
DAJ Bracewell,6,8,195,102,0,0,4,0,0,0,200,11.470588235294118,0,0,0,0,-4,0,0,33.333333333333336
K Rabada,11,14,356,250,0,4,8,0,0,0,350,8.544,0,0,0,0,0,0,0,32.90909090909091
TG Southee,28,36,953,664,0,3,4,8,0,0,900,8.611445783132531,0,0,0,0,0,0,0,32.67857142857143
KJ Abbott,5,6,152,112,0,3,8,0,0,0,150,8.142857142857142,0,0,0,0,0,0,0,32.2
NJ Browne,2,2,37,36,0,0,0,0,0,1,50,6.166666666666666,0,0,2,0,0,0,12,32.0
B Fernando,4,5,124,86,0,2,0,0,0,0,125,8.651162790697674,0,0,0,0,0,0,0,31.75
Harbhajan Singh,6,6,124,144,1,3,0,8,0,2,150,5.166666666666667,0,4,0,0,0,0,24,31.666666666666668
AF Milne,9,11,270,186,0,2,0,8,0,0,275,8.70967741935484,0,0,0,0,0,0,0,31.666666666666668
JR Hazlewood,7,8,213,174,0,1,8,0,0,1,200,7.344827586206896,0,0,0,0,0,0,12,31.571428571428573
JJ Bumrah,9,10,264,210,1,5,4,0,0,2,250,7.542857142857143,0,0,0,0,0,0,24,31.555555555555557
Mohammad Nawaz (3),9,11,246,180,3,2,4,0,0,0,275,8.2,0,0,0,0,0,0,0,31.555555555555557
JRMVB Sanjaya,4,5,140,84,0,1,0,0,0,0,125,10.0,0,0,0,0,0,0,0,31.5
JC Archer,4,5,114,96,0,1,0,0,0,0,125,7.125,0,0,0,0,0,0,0,31.5
SN Thakur,8,10,280,183,0,1,0,0,0,0,250,9.180327868852459,0,0,0,0,0,0,0,31.375
SCJ Broad,11,13,318,222,1,3,4,0,0,1,325,8.594594594594595,0,0,0,0,0,0,12,31.363636363636363
OF Smith,4,5,123,78,0,0,0,0,0,0,125,9.461538461538462,0,0,0,0,0,0,0,31.25
PJ Cummins,9,11,244,204,0,2,4,0,0,0,275,7.1764705882352935,0,0,0,0,0,0,0,31.22222222222222
DW Steyn,10,12,335,229,1,3,0,8,0,0,300,8.777292576419214,0,0,0,0,0,0,0,31.2
JD Ryder,1,1,7,12,0,0,0,0,0,0,25,3.5,6,0,0,0,0,0,0,31.0
Q Joseph,1,1,17,24,0,0,0,0,0,0,25,4.25,6,0,0,0,0,0,0,31.0
LPC Silva,1,1,4,6,0,0,0,0,0,0,25,4.0,6,0,0,0,0,0,0,31.0
RJ Peterson,5,6,136,102,0,0,4,0,0,0,150,8.0,0,0,0,0,0,0,0,30.8
DB Sharma,7,8,191,162,2,1,0,0,0,1,200,7.0740740740740735,0,0,0,0,0,0,12,30.714285714285715
Nasum Ahmed,5,6,145,107,0,2,0,0,0,0,150,8.130841121495328,0,0,0,0,0,0,0,30.4
PVD Chameera,11,13,379,252,0,1,0,8,0,0,325,9.023809523809524,0,0,0,0,0,0,0,30.363636363636363
SPD Smith,3,3,69,66,1,1,0,0,0,1,75,6.2727272727272725,0,0,2,0,0,0,12,30.333333333333332
JW Dernbach,9,10,317,202,0,2,0,8,0,1,250,9.415841584158416,0,0,0,0,0,0,12,30.22222222222222
LS Livingstone,5,6,104,84,0,1,0,0,0,0,150,7.428571428571429,0,0,0,0,0,0,0,30.2
KMDN Kulasekara,13,15,390,300,2,7,0,8,0,0,375,7.800000000000001,0,0,0,0,0,0,0,30.153846153846153
Shadab Khan,13,15,391,300,3,2,4,8,0,0,375,7.819999999999999,0,0,0,0,0,0,0,30.153846153846153
Rubel Hossain,6,7,205,144,1,3,0,0,0,0,175,8.541666666666668,0,0,0,0,0,0,0,29.833333333333332
Washington Sundar,10,11,231,216,0,4,4,0,0,1,275,6.416666666666666,0,0,2,0,0,0,12,29.7
Shafiul Islam,3,3,92,64,0,2,0,0,0,1,75,8.625,0,0,0,0,0,0,12,29.666666666666668
T Shamsi,15,17,325,324,1,3,0,8,0,0,425,6.018518518518519,0,0,2,0,0,0,0,29.266666666666666
N Shangase,2,2,20,9,0,2,0,0,0,1,50,13.333333333333334,0,0,0,0,0,-6,12,29.0
TK Curran,8,9,291,174,0,3,4,0,0,0,225,10.034482758620689,0,0,0,-2,0,0,0,28.75
Poonam Yadav,7,8,203,162,1,0,0,0,0,0,200,7.518518518518519,0,0,0,0,0,0,0,28.714285714285715
MJ McClenaghan,7,8,202,168,0,1,0,0,0,0,200,7.2142857142857135,0,0,0,0,0,0,0,28.714285714285715
Faheem Ashraf,9,10,251,178,0,4,4,0,0,0,250,8.460674157303371,0,0,0,0,0,0,0,28.666666666666668
Shaheen Shah Afridi,9,10,286,216,1,2,4,0,0,0,250,7.944444444444445,0,0,0,0,0,0,0,28.555555555555557
EA Perry,6,6,130,108,0,3,4,0,0,1,150,7.222222222222222,0,0,0,0,0,0,12,28.166666666666668
SC Kuggeleijn,9,10,251,174,1,2,0,0,0,0,250,8.655172413793103,0,0,0,0,0,0,0,28.11111111111111
D Brown,1,1,19,18,0,1,0,0,0,0,25,6.333333333333334,0,0,2,0,0,0,0,28.0
DJ Hussey,6,6,94,90,1,3,0,0,0,1,150,6.2666666666666675,0,0,2,0,0,0,12,28.0
JA Duffy,1,1,25,24,0,1,0,0,0,0,25,6.25,0,0,2,0,0,0,0,28.0
M Daniels,2,2,44,48,0,1,0,0,0,0,50,5.5,0,4,0,0,0,0,0,27.5
AM Peterson,4,4,71,72,0,2,4,0,0,0,100,5.916666666666667,0,4,0,0,0,0,0,27.5
JM Muirhead,1,1,21,18,0,0,0,0,0,0,25,7.0,0,0,2,0,0,0,0,27.0
KV Sharma,1,1,28,24,0,0,0,0,0,0,25,7.0,0,0,2,0,0,0,0,27.0
Kainat Imtiaz,1,1,14,12,0,0,0,0,0,0,25,7.0,0,0,2,0,0,0,0,27.0
R Ravindra,1,1,19,18,0,0,0,0,0,0,25,6.333333333333334,0,0,2,0,0,0,0,27.0
MJG Nielsen,2,2,32,36,0,0,0,0,0,0,50,5.333333333333333,0,4,0,0,0,0,0,27.0
Zulfiqar Babar,1,1,27,24,0,0,0,0,0,0,25,6.75,0,0,2,0,0,0,0,27.0
CR Brathwaite,3,3,71,51,0,2,4,0,0,0,75,8.352941176470587,0,0,0,0,0,0,0,27.0
CV Varun,1,1,28,24,0,0,0,0,0,0,25,7.0,0,0,2,0,0,0,0,27.0
AC Jayangani,1,1,25,24,0,0,0,0,0,0,25,6.25,0,0,2,0,0,0,0,27.0
BW Hilfenhaus,1,1,28,24,0,0,0,0,0,0,25,7.0,0,0,2,0,0,0,0,27.0
BV Sears,1,1,21,18,0,0,0,0,0,0,25,7.0,0,0,2,0,0,0,0,27.0
KH Brunt,12,11,216,222,1,6,0,0,0,3,275,5.837837837837839,0,4,0,0,0,0,36,26.833333333333332
SHA Rance,3,3,113,72,1,0,4,0,0,0,75,9.416666666666666,0,0,0,0,0,0,0,26.666666666666668
A Zampa,11,11,301,258,0,3,0,0,0,1,275,7.0,0,0,2,0,0,0,12,26.545454545454547
AJ Hosein,7,7,166,144,0,0,0,8,0,0,175,6.916666666666666,0,0,2,0,0,0,0,26.428571428571427
AU Rashid,19,19,515,408,4,4,4,0,0,1,475,7.573529411764706,0,0,0,0,0,0,12,26.263157894736842
Nazmul Islam,4,4,119,96,0,1,4,0,0,0,100,7.4375,0,0,0,0,0,0,0,26.25
R Sharma,1,1,27,22,0,1,0,0,0,0,25,7.363636363636363,0,0,0,0,0,0,0,26.0
CA Henry,1,1,33,24,0,1,0,0,0,0,25,8.25,0,0,0,0,0,0,0,26.0
RAS Lakmal,1,1,29,24,0,1,0,0,0,0,25,7.25,0,0,0,0,0,0,0,26.0
RJ Nicol,4,4,48,42,1,1,0,0,0,0,100,6.857142857142857,0,0,2,0,0,0,0,26.0
RP Singh,1,1,39,24,0,1,0,0,0,0,25,9.75,0,0,0,0,0,0,0,26.0
CJ Dala,3,3,87,48,1,0,4,0,0,0,75,10.875,0,0,0,-2,0,0,0,26.0
Fahima Khatun,2,2,54,36,2,0,0,0,0,0,50,9.0,0,0,0,0,0,0,0,26.0
HF Gurney,1,1,29,24,0,1,0,0,0,0,25,7.25,0,0,0,0,0,0,0,26.0
M Jansen,1,1,38,24,1,0,0,0,0,0,25,9.5,0,0,0,0,0,0,0,26.0
Marina Iqbal,1,1,18,12,1,0,0,0,0,0,25,9.0,0,0,0,0,0,0,0,26.0
M Theekshana,7,7,187,168,3,1,0,0,0,0,175,6.678571428571429,0,0,2,0,0,0,0,25.857142857142858
Wahab Riaz,4,4,127,72,0,1,4,0,0,0,100,10.583333333333332,0,0,0,-2,0,0,0,25.75
TAM Siriwardana,3,3,43,36,2,0,0,0,0,0,75,7.166666666666666,0,0,0,0,0,0,0,25.666666666666668
DJ Willey,10,10,289,210,2,0,4,0,0,0,250,8.257142857142856,0,0,0,0,0,0,0,25.6
RS Bopara,5,5,81,72,0,1,0,0,0,0,125,6.75,0,0,2,0,0,0,0,25.6
ML Schutt,7,7,199,162,1,3,0,0,0,0,175,7.37037037037037,0,0,0,0,0,0,0,25.571428571428573
DT Christian,2,2,43,30,0,1,0,0,0,0,50,8.6,0,0,0,0,0,0,0,25.5
MH Yardy,2,2,61,42,0,1,0,0,0,0,50,8.714285714285714,0,0,0,0,0,0,0,25.5
DJ Mitchell,2,2,20,15,0,1,0,0,0,0,50,8.0,0,0,0,0,0,0,0,25.5
Renuka Singh,2,2,56,42,1,0,0,0,0,0,50,8.0,0,0,0,0,0,0,0,25.5
M Muralitharan,2,2,57,48,1,0,0,0,0,0,50,7.125,0,0,0,0,0,0,0,25.5
K Sinclair,2,2,52,42,1,0,0,0,0,0,50,7.428571428571429,0,0,0,0,0,0,0,25.5
Naeem Islam,2,2,50,30,0,1,0,0,0,0,50,10.0,0,0,0,0,0,0,0,25.5
A Nortje,6,6,161,126,1,2,0,0,0,0,150,7.666666666666666,0,0,0,0,0,0,0,25.5
KA Maharaj,3,3,72,60,1,0,0,0,0,0,75,7.199999999999999,0,0,0,0,0,0,0,25.333333333333332
A Bosch,3,3,65,54,1,0,0,0,0,0,75,7.222222222222222,0,0,0,0,0,0,0,25.333333333333332
R Vinay Kumar,3,3,93,69,0,1,0,0,0,0,75,8.08695652173913,0,0,0,0,0,0,0,25.333333333333332
DAS Gunaratne,4,4,86,60,0,1,0,0,0,0,100,8.6,0,0,0,0,0,0,0,25.25
MN Samuels,9,9,181,136,0,2,0,0,0,0,225,7.985294117647058,0,0,0,0,0,0,0,25.22222222222222
JE Taylor,5,5,143,90,1,0,0,0,0,0,125,9.533333333333333,0,0,0,0,0,0,0,25.2
DM Kimmince,5,5,167,114,0,1,0,0,0,0,125,8.789473684210526,0,0,0,0,0,0,0,25.2
