striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
TL Seifert,14,326,249,14,31,14,16,24,0,130.92369477911646,326,31,28,-28,0,0,2,0,0,0,28.5
JC Buttler,21,490,353,21,44,18,28,24,16,138.8101983002833,490,44,36,-42,0,0,2,0,0,0,28.476190476190474
T Brits,7,172,173,7,19,1,12,8,0,99.42196531791907,172,19,2,-14,0,0,0,0,0,0,28.428571428571427
MK Pandey,11,266,201,11,20,7,16,16,0,132.33830845771143,266,20,14,-22,0,0,2,0,0,0,28.363636363636363
FH Allen,3,70,40,3,9,4,4,0,0,175.0,70,9,8,-6,6,0,0,0,0,-6,28.333333333333332
RR Hendricks,13,315,261,13,37,3,20,16,0,120.6896551724138,315,37,6,-26,0,0,0,0,0,0,28.307692307692307
DR Smith,12,274,199,12,32,15,8,16,0,137.68844221105527,274,32,30,-24,0,0,2,0,0,0,28.166666666666668
R Powell,9,210,158,9,13,13,12,8,0,132.91139240506328,210,13,26,-18,0,0,2,0,0,0,28.11111111111111
MJ Prior,1,22,14,1,4,0,0,0,0,157.14285714285714,22,4,0,-2,0,4,0,0,0,0,28.0
Usman Ghani,1,26,24,1,2,1,0,0,0,108.33333333333333,26,2,2,-2,0,0,0,0,0,0,28.0
JN Gillespie,1,24,18,1,4,0,0,0,0,133.33333333333331,24,4,0,-2,0,0,2,0,0,0,28.0
KC Sangakkara,10,249,200,10,22,4,12,8,0,124.50000000000001,249,22,8,-20,0,0,0,0,0,0,27.9
AD Hales,17,399,296,17,37,14,24,16,0,134.7972972972973,399,37,28,-34,0,0,2,0,0,0,27.764705882352942
Sana Mir,3,79,90,3,6,0,4,0,0,87.77777777777777,79,6,0,-6,0,0,0,0,0,0,27.666666666666668
RJ Nicol,8,184,147,8,19,7,12,8,0,125.17006802721089,184,19,14,-16,0,0,0,0,0,0,27.625
HE van der Dussen,10,235,194,10,13,10,20,8,0,121.13402061855669,235,13,20,-20,0,0,0,0,0,0,27.6
SACA King,2,47,37,2,8,0,4,0,0,127.02702702702702,47,8,0,-4,0,0,0,0,0,0,27.5
KIC Asalanka,8,185,151,8,14,10,8,8,0,122.51655629139073,185,14,20,-16,0,0,0,0,0,0,27.375
CL White,6,140,114,6,8,8,4,8,0,122.80701754385966,140,8,16,-12,0,0,0,0,0,0,27.333333333333332
LMP Simmons,15,342,296,15,28,17,20,16,0,115.54054054054055,342,28,34,-30,0,0,0,0,0,0,27.333333333333332
BJ Hodge,3,73,61,3,5,1,8,0,0,119.67213114754098,73,5,2,-6,0,0,0,0,0,0,27.333333333333332
GD Phillips,8,186,128,8,13,8,8,8,0,145.3125,186,13,16,-16,0,0,2,0,0,0,27.125
