striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
Basil Thampi,2,3,6,2,0,0,0,0,0,50.0,3,0,0,-4,0,0,0,0,0,0,-0.5
SK Trivedi,2,3,8,2,0,0,0,0,0,37.5,3,0,0,-4,0,0,0,0,0,0,-0.5
DS Kulkarni,3,8,15,3,0,0,0,0,0,53.333333333333336,8,0,0,-6,0,0,0,0,-4,0,-0.6666666666666666
VG Arora,3,4,4,3,0,0,0,0,0,100.0,4,0,0,-6,0,0,0,0,0,0,-0.6666666666666666
M Markande,3,4,13,3,0,0,0,0,0,30.76923076923077,4,0,0,-6,0,0,0,0,0,0,-0.6666666666666666
Mustafizur Rahman,3,4,9,3,0,0,0,0,0,44.44444444444444,4,0,0,-6,0,0,0,0,0,0,-0.6666666666666666
R Sharma,5,5,15,5,1,0,0,0,0,33.33333333333333,5,1,0,-10,0,0,0,0,0,0,-0.8
SW Tait,1,1,1,1,0,0,0,0,0,100.0,1,0,0,-2,0,0,0,0,0,0,-1.0
MA Wood,1,1,3,1,0,0,0,0,0,33.33333333333333,1,0,0,-2,0,0,0,0,0,0,-1.0
R Shukla,1,1,2,1,0,0,0,0,0,50.0,1,0,0,-2,0,0,0,0,0,0,-1.0
PJ Sangwan,3,3,9,3,0,0,0,0,0,33.33333333333333,3,0,0,-6,0,0,0,0,0,0,-1.0
CV Varun,1,1,1,1,0,0,0,0,0,100.0,1,0,0,-2,0,0,0,0,0,0,-1.0
Umran Malik,2,4,6,2,0,0,0,0,0,66.66666666666666,4,0,0,-4,0,0,0,-2,0,0,-1.0
DP Nannes,1,1,2,1,0,0,0,0,0,50.0,1,0,0,-2,0,0,0,0,0,0,-1.0
TM Srivastava,1,1,1,1,0,0,0,0,0,100.0,1,0,0,-2,0,0,0,0,0,0,-1.0
SE Bond,1,1,2,1,0,0,0,0,0,50.0,1,0,0,-2,0,0,0,0,0,0,-1.0
NT Ellis,1,1,2,1,0,0,0,0,0,50.0,1,0,0,-2,0,0,0,0,0,0,-1.0
FH Edwards,1,1,3,1,0,0,0,0,0,33.33333333333333,1,0,0,-2,0,0,0,0,0,0,-1.0
MJ Santner,1,1,3,1,0,0,0,0,0,33.33333333333333,1,0,0,-2,0,0,0,0,0,0,-1.0
SB Styris,1,1,2,1,0,0,0,0,0,50.0,1,0,0,-2,0,0,0,0,0,0,-1.0
LH Ferguson,1,1,1,1,0,0,0,0,0,100.0,1,0,0,-2,0,0,0,0,0,0,-1.0
M Jansen,2,2,6,2,0,0,0,0,0,33.33333333333333,2,0,0,-4,0,0,0,0,0,0,-1.0
M de Lange,1,1,2,1,0,0,0,0,0,50.0,1,0,0,-2,0,0,0,0,0,0,-1.0
J Yadav,1,1,3,1,0,0,0,0,0,33.33333333333333,1,0,0,-2,0,0,0,0,0,0,-1.0
Harshit Rana,2,2,2,2,0,0,0,0,0,100.0,2,0,0,-4,0,0,0,0,0,0,-1.0
KJ Abbott,1,1,1,1,0,0,0,0,0,100.0,1,0,0,-2,0,0,0,0,0,0,-1.0
PP Ojha,7,6,12,7,0,0,0,0,0,50.0,6,0,0,-14,0,0,0,0,0,0,-1.1428571428571428
YS Chahal,3,2,7,3,0,0,0,0,0,28.57142857142857,2,0,0,-6,0,0,0,0,0,0,-1.3333333333333333
L Balaji,3,2,8,3,0,0,0,0,0,25.0,2,0,0,-6,0,0,0,0,0,0,-1.3333333333333333
AF Milne,3,2,5,3,0,0,0,0,0,40.0,2,0,0,-6,0,0,0,0,0,0,-1.3333333333333333
M Ashwin,2,1,4,2,0,0,0,0,0,25.0,1,0,0,-4,0,0,0,0,0,0,-1.5
Shoaib Ahmed,2,1,3,2,0,0,0,0,0,33.33333333333333,1,0,0,-4,0,0,0,0,0,0,-1.5
C Sakariya,2,1,6,2,0,0,0,0,0,16.666666666666664,1,0,0,-4,0,0,0,0,0,0,-1.5
S Ladda,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
A Chopra,1,2,3,1,0,0,0,0,0,66.66666666666666,2,0,0,-2,0,0,0,-2,0,0,-2.0
RP Meredith,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
R Bishnoi,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
KK Ahmed,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
Anureet Singh,1,0,3,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
B Indrajith,1,0,6,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
S Badree,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
Ankit Soni,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
AS Joseph,1,0,1,1,0,0,0,0,0,0.0,0,0,0,-2,0,0,0,0,0,0,-2.0
