bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
DA Warner,1,0,2,1,0,0,0,0,0,0,0,12.0,0,0,0,0,-4,0,0,-4.0
F du Plessis,1,0,16,6,0,0,0,0,0,0,0,16.0,0,0,0,0,0,-6,0,-6.0
Abdur Razzak,1,0,29,12,0,0,0,0,0,0,0,14.5,0,0,0,0,0,-6,0,-6.0
A Flintoff,1,0,50,24,0,0,0,0,0,0,0,12.5,0,0,0,0,0,-6,0,-6.0
Gurnoor Brar,1,0,42,18,0,0,0,0,0,0,0,14.0,0,0,0,0,0,-6,0,-6.0
AM Salvi,1,0,41,18,0,0,0,0,0,0,0,13.666666666666666,0,0,0,0,0,-6,0,-6.0
RR Bhatkal,1,0,35,12,0,0,0,0,0,0,0,17.5,0,0,0,0,0,-6,0,-6.0
P Ray Barman,1,0,56,24,0,0,0,0,0,0,0,14.0,0,0,0,0,0,-6,0,-6.0
GS Sandhu,1,0,49,24,0,0,0,0,0,0,0,12.25,0,0,0,0,0,-6,0,-6.0
MG Neser,1,0,62,24,0,0,0,0,0,0,0,15.5,0,0,0,0,0,-6,0,-6.0
MJ Henry,1,0,40,12,0,0,0,0,0,0,0,20.0,0,0,0,0,0,-6,0,-6.0
RG More,1,0,28,12,0,0,0,0,0,0,0,14.0,0,0,0,0,0,-6,0,-6.0
Sunny Gupta,1,0,47,18,0,0,0,0,0,0,0,15.666666666666668,0,0,0,0,0,-6,0,-6.0
L Ablish,1,0,39,18,0,0,0,0,0,0,0,13.0,0,0,0,0,0,-6,0,-6.0
