striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
DJ Mitchell,6,98,60,6,7,5,4,0,0,163.33333333333334,98,7,10,-12,0,4,0,0,0,0,18.5
PJ van Biljon,3,51,43,3,2,2,4,0,0,118.6046511627907,51,2,4,-6,0,0,0,0,0,0,18.333333333333332
JDS Neesham,9,142,86,9,11,8,8,0,0,165.11627906976744,142,11,16,-18,0,4,0,0,0,0,18.11111111111111
KD Karthik,18,283,173,18,28,15,16,0,0,163.58381502890174,283,28,30,-36,0,4,0,0,0,0,18.055555555555557
AN Cook,3,52,45,3,8,0,0,0,0,115.55555555555554,52,8,0,-6,0,0,0,0,0,0,18.0
RM Ghosh,1,18,18,1,2,0,0,0,0,100.0,18,2,0,-2,0,0,0,0,0,0,18.0
SN Thakur,3,49,19,3,3,4,0,0,0,257.89473684210526,49,3,8,-6,6,0,0,0,0,-6,18.0
JW Wilson,1,18,14,1,2,0,0,0,0,128.57142857142858,18,2,0,-2,0,0,0,0,0,0,18.0
Abdul Razzaq,4,61,28,4,3,6,4,0,0,217.85714285714283,61,3,12,-8,6,0,0,0,0,-6,18.0
AB Dinda,1,19,20,1,1,0,0,0,0,95.0,19,1,0,-2,0,0,0,0,0,0,18.0
ADS Fletcher,16,250,221,16,15,16,8,8,0,113.12217194570135,250,15,32,-32,0,0,0,0,0,0,17.5625
Sohag Gazi,2,33,22,2,2,1,0,0,0,150.0,33,2,2,-4,0,0,2,0,0,0,17.5
AC Gilchrist,5,73,52,5,4,7,4,0,0,140.3846153846154,73,4,14,-10,0,0,2,0,0,0,17.4
AD Mascarenhas,4,60,34,4,3,5,4,0,0,176.47058823529412,60,3,10,-8,6,0,0,0,0,-6,17.25
F Behardien,11,171,126,11,11,7,12,0,0,135.71428571428572,171,11,14,-22,0,0,2,0,0,0,17.09090909090909
B Lee,3,45,24,3,4,2,4,0,0,187.5,45,4,4,-6,6,0,0,0,0,-6,17.0
BF Smith,1,15,11,1,2,0,0,0,0,136.36363636363635,15,2,0,-2,0,0,2,0,0,0,17.0
Fawad Alam,2,32,18,2,2,2,0,0,0,177.77777777777777,32,2,4,-4,6,0,0,0,0,-6,17.0
Javeria Khan,4,67,73,4,9,0,0,0,0,91.78082191780823,67,9,0,-8,0,0,0,0,0,0,17.0
GF Linde,2,28,18,2,1,2,0,0,0,155.55555555555557,28,1,4,-4,0,4,0,0,0,0,16.5
MS Chapman,6,93,72,6,4,5,4,0,0,129.16666666666669,93,4,10,-12,0,0,0,0,0,0,16.5
Sabbir Rahman,8,121,98,8,12,5,4,0,0,123.46938775510203,121,12,10,-16,0,0,0,0,0,0,16.375
DR Sams,6,88,47,6,6,6,4,0,0,187.2340425531915,88,6,12,-12,6,0,0,0,0,-6,16.333333333333332
LRPL Taylor,27,400,275,27,27,20,12,8,0,145.45454545454547,400,27,40,-54,0,0,2,0,0,0,16.11111111111111
Aamer Yamin,1,15,6,1,1,1,0,0,0,250.0,15,1,2,-2,6,0,0,0,0,-6,16.0
LA Pomersbach,1,15,7,1,1,1,0,0,0,214.28571428571428,15,1,2,-2,6,0,0,0,0,-6,16.0
BJ Rohrer,1,16,14,1,0,1,0,0,0,114.28571428571428,16,0,2,-2,0,0,0,0,0,0,16.0
LH Ferguson,1,14,8,1,0,2,0,0,0,175.0,14,0,4,-2,6,0,0,0,0,-6,16.0
JEC Franklin,8,119,116,8,7,5,8,0,0,102.58620689655173,119,7,10,-16,0,0,0,0,0,0,16.0
L Lee,2,29,24,2,5,1,0,0,0,120.83333333333333,29,5,2,-4,0,0,0,0,0,0,16.0
KMA Paul,8,123,104,8,7,7,0,0,0,118.26923076923077,123,7,14,-16,0,0,0,0,0,0,16.0
BCJ Cutting,2,29,17,2,1,3,0,0,0,170.58823529411765,29,1,6,-4,6,0,0,0,0,-6,16.0
Shamima Sultana,1,13,9,1,3,0,0,0,0,144.44444444444443,13,3,0,-2,0,0,2,0,0,0,16.0
MR Aguilleira,1,16,20,1,2,0,0,0,0,80.0,16,2,0,-2,0,0,0,0,0,0,16.0
S Dube,1,13,9,1,1,1,0,0,0,144.44444444444443,13,1,2,-2,0,0,2,0,0,0,16.0
Asif Ali,11,158,104,11,14,8,4,0,0,151.9230769230769,158,14,16,-22,0,4,0,0,0,0,15.818181818181818
RV Uthappa,4,58,53,4,3,3,4,0,0,109.43396226415094,58,3,6,-8,0,0,0,0,0,0,15.75
KR Mayers,9,126,96,9,11,8,4,0,0,131.25,126,11,16,-18,0,0,2,0,0,0,15.666666666666666
Anamul Haque,3,43,32,3,6,1,0,0,0,134.375,43,6,2,-6,0,0,2,0,0,0,15.666666666666666
Kyshona A Knight,2,32,45,2,3,0,0,0,0,71.11111111111111,32,3,0,-4,0,0,0,0,0,0,15.5
Shadab Khan,5,65,41,5,5,4,4,0,0,158.53658536585365,65,5,8,-10,0,4,0,0,0,0,15.2
BJ Haddin,9,130,105,9,8,6,4,0,0,123.80952380952381,130,8,12,-18,0,0,0,0,0,0,15.11111111111111
RD Gaikwad,2,27,23,2,1,3,0,0,0,117.3913043478261,27,1,6,-4,0,0,0,0,0,0,15.0
D Hemalatha,1,15,7,1,2,0,0,0,0,214.28571428571428,15,2,0,-2,6,0,0,0,0,-6,15.0
CAK Walton,6,81,70,6,9,4,4,0,0,115.71428571428572,81,9,8,-12,0,0,0,0,0,0,15.0
JM Kerr,1,12,8,1,1,1,0,0,0,150.0,12,1,2,-2,0,0,2,0,0,0,15.0
JL Ontong,3,41,20,3,4,3,0,0,0,204.99999999999997,41,4,6,-6,6,0,0,0,0,-6,15.0
SE Marsh,7,107,105,7,6,3,0,0,0,101.9047619047619,107,6,6,-14,0,0,0,0,0,0,15.0
JJ van der Wath,1,14,7,1,1,1,0,0,0,200.0,14,1,2,-2,6,0,0,0,0,-6,15.0
Umaima Sohail,2,30,29,2,4,0,0,0,0,103.44827586206897,30,4,0,-4,0,0,0,0,0,0,15.0
Nigar Sultana,1,19,32,1,2,0,0,0,0,59.375,19,2,0,-2,0,0,0,0,-4,0,15.0
PHKD Mendis,2,25,16,2,3,1,0,0,0,156.25,25,3,2,-4,0,4,0,0,0,0,15.0
BM Wheeler,3,37,28,3,3,2,4,0,0,132.14285714285714,37,3,4,-6,0,0,2,0,0,0,14.666666666666666
P Vastrakar,3,41,26,3,5,0,0,0,0,157.69230769230768,41,5,0,-6,0,4,0,0,0,0,14.666666666666666
C Kieswetter,2,26,20,2,1,3,0,0,0,130.0,26,1,6,-4,0,0,0,0,0,0,14.5
JM How,3,41,51,3,4,0,4,0,0,80.3921568627451,41,4,0,-6,0,0,0,0,0,0,14.333333333333334
PP Ojha,1,10,6,1,0,1,0,0,0,166.66666666666669,10,0,2,-2,0,4,0,0,0,0,14.0
MV Boucher,4,55,42,4,5,1,0,0,0,130.95238095238096,55,5,2,-8,0,0,2,0,0,0,14.0
L Wolvaardt,2,27,21,2,5,0,0,0,0,128.57142857142858,27,5,0,-4,0,0,0,0,0,0,14.0
I Udana,4,49,37,4,1,4,4,0,0,132.43243243243242,49,1,8,-8,0,0,2,0,0,0,14.0
AM Peterson,1,14,12,1,2,0,0,0,0,116.66666666666667,14,2,0,-2,0,0,0,0,0,0,14.0
RA Jadeja,7,89,53,7,9,3,4,0,0,167.9245283018868,89,9,6,-14,0,4,0,0,0,0,14.0
Mohammad Nabi,4,54,59,4,4,1,4,0,0,91.52542372881356,54,4,2,-8,0,0,0,0,0,0,14.0
PA Hitchcock,1,13,11,1,1,1,0,0,0,118.18181818181819,13,1,2,-2,0,0,0,0,0,0,14.0
NO Miller,1,15,18,1,1,0,0,0,0,83.33333333333334,15,1,0,-2,0,0,0,0,0,0,14.0
JR Hopes,2,30,34,2,2,0,0,0,0,88.23529411764706,30,2,0,-4,0,0,0,0,0,0,14.0
JS Foster,1,14,8,1,0,1,0,0,0,175.0,14,0,2,-2,6,0,0,0,0,-6,14.0
Kamran Akmal,10,123,112,10,14,3,8,8,0,109.82142857142858,123,14,6,-20,0,0,0,0,0,0,13.9
S Chanderpaul,7,92,74,7,10,2,4,0,0,124.32432432432432,92,10,4,-14,0,0,0,0,0,0,13.714285714285714
C Karunaratne,3,40,27,3,1,2,0,0,0,148.14814814814815,40,1,4,-6,0,0,2,0,0,0,13.666666666666666
A Nehra,2,22,14,2,1,2,0,0,0,157.14285714285714,22,1,4,-4,0,4,0,0,0,0,13.5
S Prasanna,3,34,20,3,4,2,0,0,0,170.0,34,4,4,-6,0,4,0,0,0,0,13.333333333333334
MJ Prior,3,35,23,3,3,2,0,0,0,152.17391304347828,35,3,4,-6,0,4,0,0,0,0,13.333333333333334
Samiullah Shenwari,2,27,23,2,3,0,0,0,0,117.3913043478261,27,3,0,-4,0,0,0,0,0,0,13.0
D Ramdin,13,168,147,13,13,5,4,0,0,114.28571428571428,168,13,10,-26,0,0,0,0,0,0,13.0
GL Cloete,1,13,12,1,2,0,0,0,0,108.33333333333333,13,2,0,-2,0,0,0,0,0,0,13.0
HM Rowe,1,11,8,1,2,0,0,0,0,137.5,11,2,0,-2,0,0,2,0,0,0,13.0
TMM Newton,1,14,12,1,1,0,0,0,0,116.66666666666667,14,1,0,-2,0,0,0,0,0,0,13.0
SE Findlay,1,13,14,1,2,0,0,0,0,92.85714285714286,13,2,0,-2,0,0,0,0,0,0,13.0
JT Smuts,5,65,65,5,6,2,0,0,0,100.0,65,6,4,-10,0,0,0,0,0,0,13.0
SM Pollock,2,26,20,2,2,1,0,0,0,130.0,26,2,2,-4,0,0,0,0,0,0,13.0
DB Sharma,3,38,42,3,2,0,4,0,0,90.47619047619048,38,2,0,-6,0,0,0,0,0,0,12.666666666666666
MC Henriques,7,91,75,7,6,2,0,0,0,121.33333333333334,91,6,4,-14,0,0,0,0,0,0,12.428571428571429
D Wiese,3,37,21,3,2,2,0,0,0,176.19047619047618,37,2,4,-6,6,0,0,0,0,-6,12.333333333333334
Mosaddek Hossain,5,61,44,5,6,1,0,0,0,138.63636363636365,61,6,2,-10,0,0,2,0,0,0,12.2
AK Kitchen,3,37,31,3,3,1,0,0,0,119.35483870967742,37,3,2,-6,0,0,0,0,0,0,12.0
FC Wilson,2,26,26,2,2,0,0,0,0,100.0,26,2,0,-4,0,0,0,0,0,0,12.0
RJ Peterson,1,13,14,1,1,0,0,0,0,92.85714285714286,13,1,0,-2,0,0,0,0,0,0,12.0
